temp(2020/7)
25.1
25.9
23.8
23.8
24.9
24.8
27.2
26
23.7
25.3
27.5
26
21
22.3
20.4
20.7
19.3
20.4
24.3
26.9
25.5
26.6
23.2
24.5
25.1
25.6
26.3
26.7
22.9
23.2
24.8
